Symbol,Name/Code,Code,Usage
⟶,Long Rightwards Arrow,U+27F6,
⟷,Long Left Right Arrow,U+27F7,
⟼,Long Rightwards Arrow from Bar,U+27FC,
⇐,Leftwards Double Arrow,U+21D0,
⇒,Rightwards Double Arrow,U+21D2,
⇔,Left Right Double Arrow,U+21D4,
⟸,Long Leftwards Double Arrow,U+27F8,
⟹,Long Rightwards Double Arrow,U+27F9,
⟺,Long Left Right Double Arrow,U+27FA,
⟾,Long Rightwards Arrow From Bar,U+27FE,
Non-Standard Arrows,,,
↻,Clockwise Open Circle Arrow,U+21BB,
↺,Anticlockwise Open Circle Arrow,U+21BA,
↩,Leftwards Arrow With Hook,U+21A9,
↪,Rightwards Arrow With Hook,U+21AA,
↶,Anticlockwise Top Semicircle Arrow,U+21B6,
↷,Clockwise Top Semicircle Arrow,U+21B7,
⇑,Upwards Double Arrow,U+21D1,
⇓,Downwards Double Arrow,U+21D3,
⇆,Leftwards Arrow Over Rightwards Arrow,U+21C6,
⇄,Rightwards Arrow Over Leftwards Arrow,U+21C4,
⇇,Leftwards Paired Arrows,U+21C7,
⇉,Rightwards Paired Arrows,U+21C9,
Harpoons,,,
↿,Upwards Harpoon With Barb Leftwards,U+21BF,
↾,Upwards Harpoon With Barb Rightwards,U+21BE,
⇃,Downwards Harpoon With Barb Leftwards,U+21C3,
⇂,Downwards Harpoon With Barb Rightwards,U+21C2,
↼,Leftwards Harpoon With Barb Upwards,U+21BC,
↽,Leftwards Harpoon With Barb Downwards,U+21BD,
⇀,Rightwards Harpoon With Barb Upwards,U+21C0,
⇁,Rightwards Harpoon With Barb Downwards,U+21C1,
⇋,Leftwards Harpoon Over Rightwards Harpoon,U+21CB,
⇌,Rightwards Harpoon Over Leftwards Harpoon,U+21CC,
Directional / Pointing,,,
☟,White Down Pointing Index,U+261F,
☜,White Left Pointing Index,U+261C,
☞,White Right Pointing Index,U+261E,
Triangles,,,
∇,Nabla,U+2207,
△,White Up-Pointing Triangle,U+25B3,
▽,White Down-Pointing Triangle,U+25BD,
◁,White Left-Pointing Triangle,U+25C1,
▷,White Right-Pointing Triangle,U+25B7,
▲,Black Up-Pointing Triangle,U+25B2,
▼,Black Down-Pointing Triangle,U+25BC,
▶,Black Right-Pointing Triangle,U+25B6,
◀,Black Left-Pointing Triangle,U+25C0,
Squares / Diamonds,,,
❖,Black Diamond Minus White X,U+2756,
◆,Black Diamond,U+25C6,
◇,White Diamond,U+25C7,
☑,Ballot Box With Check,U+2611,
■,Black Square,U+25A0,
□,White Square,U+25A1,
▪,Black Small Square,U+25AA,
▫,White Small Square,U+25AB,
⊟,Squared Minus,U+229F,
⊞,Squared Plus,U+229E,
⊠,Squared Times,U+22A0,
Circles,,,
◯,Large Circle,U+25EF,
●,Black Circle,U+25CF,
○,White Circle,U+25CB,
◦,White Bullet,U+25E6,
⦿,Bullseye,U+29BF,
☉,Sun,U+2609,
⨀,N-Ary Circled Dot Operator,U+2A00,
⨁,N-Ary Circled Plus Operator,U+2A01,
⨂,N-Ary Circled Times Operator,U+2A02,
⊛,Circled Asterisk Operator,U+229B,
⊙,Circled Dot Operator,U+2299,
⊖,Circled Minus,U+2296,
⊕,Circled Plus,U+2295,
⊘,Circled Division Slash,U+2298,
⊗,Circled Times,U+2297,
°,Degree Sign,U+00B0,
Stars / Asterisks,,,
★,Black Star,U+2605,
☆,White Star,U+2606,
✦,Black Four Pointed Star,U+2726,
✧,White Four Pointed Star,U+2727,
✲,Asterisk Operator,U+2732,
Computer / Keyboard,,,
✉,Envelope,U+2709,Replace email / envelope symbols.
⎙,Print Screen Symbol,U+2399,Represent Print Screen symbols.
⌘,Place Of Interest Sign,U+2318,Apple / iOS [Command] key.
⌃,Up Arrowhead,U+2303,Apple / iOS [Control] key.
